"","Date","Respiratory.Infections","Respiratory.Infections_Cum","Pneumonia","Pneumonia_Cum","Attendance.at.Emergency.Department","COVID-19.Cases","COVID-19.Cases_Cum","Total","Total_Cum","X11"
"50","2021-11-19",4,101,1,38,266,NA,NA,5,139,NA
"51","18951",3,191,1,82,262,NA,NA,4,273,NA
"52","2021-11-21",3,104,1,39,254,NA,NA,4,143,NA
"53","18953",4,197,1,87,258,NA,NA,4,284,NA
"54","2021-11-23",5,109,1,40,275,NA,NA,6,149,NA
"55","18955",5,202,0,90,278,NA,NA,6,292,NA
"56","2021-11-25",6,115,0,40,290,NA,NA,6,155,NA
"57","18957",4,209,0,93,292,NA,NA,5,302,NA
"58","2021-11-27",3,118,1,41,309,NA,NA,4,159,NA
"59","18959",3,211,1,99,289,NA,NA,4,310,NA
"60","2021-11-29",3,121,2,43,267,NA,NA,5,164,NA
"61","18961",3,214,1,103,327,NA,NA,5,317,NA
"62","2021-12-01",6,127,0,43,340,NA,NA,6,170,NA
"63","18963",5,225,1,104,299,51,85,5,329,NA
"64","2021-12-03",3,130,2,45,288,NA,NA,5,175,NA
"65","18965",5,334,1,105,288,50,197,6,439,NA
"66","2021-12-05",9,139,1,46,288,NA,NA,10,185,NA
"67","18967",8,343,1,108,303,35,268,7,451,NA
"68","2021-12-07",4,143,1,47,340,NA,NA,5,190,NA
"69","18969",3,350,1,114,304,37,356,5,464,NA
"70","2021-12-09",3,146,2,49,286,NA,NA,5,195,NA
"71","18971",3,365,2,116,264,31,430,5,481,NA
"72","2021-12-11",3,149,2,51,256,NA,NA,5,200,NA
"73","18973",2,375,0,118,261,23,501,2,493,NA
"74","2021-12-13",1,150,0,51,293,NA,NA,1,201,NA
"75","18975",1,384,1,120,287,32,553,6,504,NA
"76","2021-12-15",5,155,2,53,285,NA,NA,7,208,NA
"77","18977",2,394,2,124,290,41,626,4,518,NA
"78","2021-12-17",1,156,3,56,295,NA,NA,4,212,NA
"79","18979",1,403,2,126,282,33,709,3,529,NA
"80","2021-12-19",1,157,0,56,262,NA,NA,1,213,NA
"81","18981",2,430,1,130,281,39,805,3,560,NA
"82","2021-12-21",4,158,2,58,311,NA,NA,6,216,NA
"83","18983",1,453,1,133,309,48,895,5,586,NA
"84","2021-12-23",1,159,0,58,302,NA,NA,1,217,NA
"85","18985",2,482,1,136,230,62,1003,3,618,NA
"86","2021-12-25",3,162,2,60,211,NA,NA,5,222,NA
"87","18987",1,512,2,143,252,51,1106,4,655,NA
"88","2021-12-27",1,163,3,63,359,NA,NA,4,226,NA
"89","18989",6,542,3,148,357,50,1220,9,690,NA
"90","2021-12-29",8,171,4,67,338,NA,NA,12,238,NA
"91","18991",6,563,2,150,336,46,1317,6,713,NA
"92","2021-12-31",2,173,2,69,305,NA,NA,4,242,NA
"93","18993",5,583,2,152,357,62,1418,6,735,NA
"94","2022-01-02",7,180,2,71,368,NA,NA,9,251,NA
"95","18995",5,596,3,157,368,41,1497,8,753,NA
"96","2022-01-04",4,184,4,75,369,NA,NA,8,259,NA
"97","18997",3,611,3,159,369,26,1552,7,770,NA
"98","2022-01-06",2,186,3,78,409,NA,NA,5,264,NA
"99","18999",2,626,3,165,385,27,1597,5,791,NA
"100","2022-01-08",2,188,3,81,345,NA,NA,5,269,NA
"101","19001",2,638,1,169,352,9,1635,4,807,NA
"102","2022-01-10",3,191,1,82,359,NA,NA,4,273,NA
"103","19003",2,653,2,172,341,26,1680,4,825,NA
"104","2022-01-12",2,193,3,85,310,NA,NA,5,278,NA
"105","19005",3,669,2,173,286,11,1719,5,842,NA
"106","2022-01-14",4,197,2,87,286,NA,NA,6,284,NA
"107","19007",3,692,1,174,360,20,1756,5,866,NA
"108","2022-01-16",2,199,1,88,368,NA,NA,3,287,NA
"109","19009",2,707,1,176,362,8,1771,4,883,NA
"110","2022-01-18",3,202,2,90,362,NA,NA,5,292,NA
"111","19011",3,721,1,180,331,5,1876,5,901,NA
"112","2022-01-20",4,206,1,91,322,NA,NA,5,297,NA
"113","19013",3,732,1,183,295,14,1917,5,915,NA
"114","2022-01-22",3,209,2,93,288,NA,NA,5,302,NA
"115","19015",1,743,2,185,301,16,1957,4,928,NA
"116","2022-01-24",1,210,3,96,386,NA,NA,4,306,NA
"117","19017",1,753,3,187,384,4,1970,4,940,NA
"118","2022-01-26",1,211,3,99,319,NA,NA,4,310,NA
"119","19019",1,764,3,192,325,6,1990,4,956,NA
"120","2022-01-28",1,212,3,100,331,NA,NA,4,312,NA
"121","19021",1,769,3,193,330,6,2003,4,962,NA
"122","2022-01-30",2,214,3,103,330,NA,NA,5,317,NA
"123","19023",4,780,2,195,329,2,2006,5,975,NA
"124","2022-02-01",6,220,1,104,304,34,34,7,324,NA
"125","19025",5,786,0,197,304,3,2011,6,983,NA
"126","2022-02-03",5,225,0,104,304,51,85,5,329,NA
"127","19027",5,791,0,198,292,2,2017,6,989,NA
"128","2022-02-05",6,331,1,105,289,62,147,7,436,NA
"129","19029",4,801,0,203,288,7,2030,4,1004,NA
"130","2022-02-07",3,334,0,105,287,50,197,3,439,NA
"131","19031",4,804,0,205,287,6,2050,4,1009,NA
"132","2022-02-09",5,339,1,106,287,36,233,6,445,NA
"133","19033",4,812,1,206,288,21,2083,6,1018,NA
"134","2022-02-11",4,343,2,108,312,35,268,6,451,NA
"135","19035",3,822,2,208,309,33,2133,6,1030,NA
"136","2022-02-13",3,346,4,112,293,51,319,7,458,NA
"137","19037",3,830,2,210,317,23,2188,6,1040,NA
"138","2022-02-15",4,350,2,114,318,37,356,6,464,NA
"139","19039",5,839,2,212,323,32,2246,6,1051,NA
"140","2022-02-17",7,357,2,116,358,43,399,9,473,NA
"141","19041",7,846,0,214,299,34,2316,8,1060,NA
"142","2022-02-19",8,365,0,116,299,31,430,8,481,NA
"143","19043",5,849,0,217,298,30,2375,6,1066,NA
"144","2022-02-21",4,369,2,117,298,48,478,6,486,NA
"145","19045",5,852,1,218,324,32,2426,6,1070,NA
"146","2022-02-23",6,375,1,118,325,23,501,7,493,NA
"147","19047",3,855,1,220,298,36,2487,6,1075,NA
"148","2022-02-25",3,378,1,119,291,20,521,4,497,NA
"149","19049",3,876,1,227,291,42,2564,5,1103,NA
"150","2022-02-27",6,384,1,120,292,32,553,7,504,NA
"151","19051",6,892,2,230,294,32,2618,7,1122,NA
"152","2022-03-01",7,391,3,123,295,32,585,10,514,NA
"153","19053",4,915,2,230,306,42,2699,7,1145,NA
"154","2022-03-03",4,394,1,124,309,41,626,5,518,NA
"155","19055",4,943,0,232,307,32,2759,4,1175,NA
"156","2022-03-05",4,398,0,124,258,50,676,4,522,NA
"157","19057",4,967,0,234,266,22,2812,4,1201,NA
"158","2022-03-07",5,403,2,126,269,33,709,7,529,NA
"159","19059",6,985,2,237,295,18,2854,7,1222,NA
"160","2022-03-09",11,414,3,129,315,57,766,14,543,NA
"161","19061",13,998,2,241,343,27,2921,14,1239,NA
"162","2022-03-11",16,430,1,130,373,39,805,17,560,NA
"163","19063",15,1007,1,243,350,26,2978,15,1250,NA
"164","2022-03-13",10,440,2,132,314,42,847,12,572,NA
"165","19065",10,1017,1,247,320,26,3030,12,1264,NA
"166","2022-03-15",13,453,1,133,344,48,895,14,586,NA
"167","19067",16,1027,1,376,352,22,3080,16,1403,NA
"168","2022-03-17",17,470,2,135,357,46,941,19,605,NA
"169","19069",13,1040,1,370,311,9,3102,13,1410,NA
"170","2022-03-19",12,482,1,136,307,62,1003,13,618,NA
"171","19071",12,1058,1,373,342,29,3149,19,1431,NA
"172","2022-03-21",18,500,5,141,386,52,1055,23,641,NA
"173","19073",15,1070,3,378,369,8,3179,19,1448,NA
"174","2022-03-23",12,512,2,143,367,51,1106,14,655,NA
"175","19075",12,1097,2,381,339,12,3205,17,1478,NA
"176","2022-03-25",17,529,4,147,334,64,1170,21,676,NA
"177","19077",14,1130,1,382,334,12,3238,17,1512,NA
"178","2022-03-27",13,542,1,148,340,50,1220,14,690,NA
"179","19079",9,1154,1,385,349,22,3278,10,1539,NA
"180","2022-03-29",8,550,1,149,350,51,1271,9,699,NA
"181","19081",12,1180,1,390,366,32,3336,10,1570,NA
"182","2022-03-31",13,563,1,150,367,46,1317,14,713,NA
"183","19083",12,1202,1,393,361,22,3384,13,1595,NA
"184","2022-04-02",12,575,1,151,356,39,1356,13,726,NA
"185","19085",11,1231,1,393,360,31,3441,12,1624,NA
"186","2022-04-04",8,583,1,152,373,62,1418,9,735,NA
"187","19087",6,1261,1,396,362,26,3496,9,1657,NA
"188","2022-04-06",6,589,3,155,335,38,1456,9,744,NA
"189","19089",6,NA,2,NA,329,NA,NA,9,NA,NA
"190","2022-04-08",7,596,2,157,329,41,1497,9,753,NA
"191","19091",6,NA,1,NA,324,NA,NA,7,NA,NA
"192","2022-04-10",6,602,1,158,271,29,1526,7,760,NA
"193","19093",7,NA,1,NA,288,NA,NA,8,NA,NA
"194","2022-04-12",9,611,1,159,349,26,1552,10,770,NA
"195","19095",8,NA,4,NA,344,NA,NA,10,NA,NA
"196","2022-04-14",7,618,5,164,342,18,1570,12,782,NA
"197","19097",7,NA,1,NA,348,NA,NA,11,NA,NA
"198","2022-04-16",8,626,1,165,351,27,1597,9,791,NA
"199","19099",7,NA,1,NA,271,NA,NA,9,NA,NA
"200","2022-04-18",7,633,2,167,268,29,1626,9,800,NA
"201","19101",5,NA,2,NA,289,NA,NA,7,NA,NA
"202","2022-04-20",5,638,2,169,290,9,1635,7,807,NA
"203","19103",7,NA,1,NA,295,NA,NA,8,NA,NA
"204","2022-04-22",8,646,1,170,329,19,1654,9,816,NA
"205","19105",7,NA,1,NA,323,NA,NA,9,NA,NA
"206","2022-04-24",7,653,2,172,299,26,1680,9,825,NA
"207","19107",9,NA,1,NA,357,NA,NA,10,NA,NA
"208","2022-04-26",10,663,1,173,366,28,1708,11,836,NA
"209","19109",7,NA,0,NA,334,NA,NA,9,NA,NA
"210","2022-04-28",6,669,0,173,333,11,1719,6,842,NA
"211","19111",9,NA,0,NA,335,NA,NA,7,NA,NA
"212","2022-04-30",10,679,0,173,339,17,1736,10,852,NA
"213","19113",12,NA,0,NA,332,NA,NA,13,NA,NA
"214","2022-05-02",13,692,1,174,311,20,1756,14,866,NA
"215","19115",11,NA,1,NA,375,NA,NA,13,NA,NA
"216","2022-05-04",8,700,1,175,389,7,1763,9,875,NA
"217","19117",7,NA,1,NA,361,NA,NA,8,NA,NA
"218","2022-05-06",7,707,1,176,349,8,1771,8,883,NA
"219","19119",6,NA,1,NA,335,NA,NA,7,NA,NA
"220","2022-05-08",6,713,1,177,335,10,1871,7,890,NA
"221","19121",6,NA,2,NA,325,NA,NA,9,NA,NA
"222","2022-05-10",8,721,3,180,323,5,1876,11,901,NA
"223","19123",7,NA,2,NA,331,NA,NA,9,NA,NA
"224","2022-05-12",7,728,2,182,362,27,1903,9,910,NA
"225","19125",5,NA,1,NA,323,NA,NA,5,NA,NA
"226","2022-05-14",4,732,1,183,304,14,1917,5,915,NA
"227","19127",3,NA,1,NA,371,NA,NA,5,NA,NA
"228","2022-05-16",3,735,2,185,374,24,1941,5,920,NA
"229","19129",7,NA,1,NA,374,NA,NA,5,NA,NA
"230","2022-05-18",8,743,0,185,374,16,1957,8,928,NA
"231","19131",7,NA,0,NA,362,NA,NA,7,NA,NA
"232","2022-05-20",7,750,0,185,358,9,1966,7,935,NA
"233","19133",3,NA,1,NA,353,NA,NA,6,NA,NA
"234","2022-05-22",3,753,2,187,350,4,1970,5,940,NA
"235","19135",3,NA,2,NA,356,NA,NA,6,NA,NA
"236","2022-05-24",8,761,2,189,358,14,1984,10,950,NA
"237","19137",6,NA,2,NA,383,NA,NA,8,NA,NA
"238","2022-05-26",3,764,3,192,415,6,1990,6,956,NA
"239","19139",3,NA,0,NA,371,NA,NA,5,NA,NA
"240","2022-05-28",3,767,0,192,353,7,1997,3,959,NA
"241","19141",2,NA,0,NA,353,NA,NA,3,NA,NA
"242","2022-05-30",2,769,1,193,353,6,2003,3,962,NA
"243","19143",2,NA,1,NA,353,NA,NA,4,NA,NA
"244","2022-06-01",7,776,2,195,353,1,2004,9,971,NA
"245","19145",5,NA,0,NA,353,NA,NA,7,NA,NA
"246","2022-06-03",4,780,0,195,353,2,2006,4,975,NA
"247","19147",4,NA,1,NA,348,NA,NA,5,NA,NA
"248","2022-06-05",5,785,2,197,348,2,2008,7,982,NA
"249","19149",3,NA,0,NA,347,NA,NA,3,NA,NA
"250","2022-06-07",1,786,0,197,344,3,2011,1,983,NA
"251","19151",1,NA,0,NA,371,NA,NA,1,NA,NA
"252","2022-06-09",1,787,0,197,383,4,2015,1,984,NA
"253","19153",1,NA,0,NA,336,NA,NA,4,NA,NA
"254","2022-06-11",4,791,1,198,321,2,2017,5,989,NA
"255","19155",4,NA,1,NA,357,NA,NA,6,NA,NA
"256","2022-06-13",5,796,3,201,390,6,2023,8,997,NA
"257","19157",5,NA,2,NA,382,NA,NA,7,NA,NA
"258","2022-06-15",5,801,2,203,358,7,2030,7,1004,NA
"259","19159",2,NA,1,NA,329,NA,NA,3,NA,NA
"260","2022-06-17",1,802,1,204,310,14,2044,2,1006,NA
"261","19161",1,NA,1,NA,348,NA,NA,2,NA,NA
"262","2022-06-19",2,804,1,205,364,6,2050,3,1009,NA
"263","19163",3,NA,0,NA,371,NA,NA,3,NA,NA
"264","2022-06-21",4,808,0,205,375,12,2062,4,1013,NA
"265","19165",4,NA,0,NA,375,NA,NA,4,NA,NA
"266","2022-06-23",4,812,1,206,375,21,2083,5,1018,NA
"267","19167",4,NA,1,NA,392,NA,NA,5,NA,NA
"268","2022-06-25",4,816,1,207,431,17,2100,5,1023,NA
"269","19169",4,NA,1,NA,449,NA,NA,6,NA,NA
"270","2022-06-27",6,822,1,208,451,33,2133,7,1030,NA
"271","19171",4,NA,1,NA,441,NA,NA,6,NA,NA
"272","2022-06-29",4,826,1,209,426,32,2165,5,1035,NA
"273","19173",4,NA,1,NA,414,NA,NA,5,NA,NA
"274","2022-07-01",4,830,1,210,358,23,2188,5,1040,NA
"275","19175",4,NA,1,NA,363,NA,NA,5,NA,NA
"276","2022-07-03",4,834,1,211,451,26,2214,5,1045,NA
"277","19177",4,NA,1,NA,448,NA,NA,5,NA,NA
"278","2022-07-05",5,839,1,212,448,32,2246,6,1051,NA
"279","19179",4,NA,1,NA,417,NA,NA,5,NA,NA
"280","2022-07-07",4,843,1,213,403,36,2282,5,1056,NA
"281","19181",3,NA,1,NA,394,NA,NA,4,NA,NA
"282","2022-07-09",3,846,1,214,354,34,2316,4,1060,NA
"283","19183",2,NA,1,NA,358,NA,NA,3,NA,NA
"284","2022-07-11",2,848,1,215,379,29,2345,3,1063,NA
"285","19185",1,NA,1,NA,364,NA,NA,3,NA,NA
"286","2022-07-13",1,849,2,217,359,30,2375,3,1066,NA
"287","19187",1,NA,1,NA,348,NA,NA,3,NA,NA
"288","2022-07-15",2,851,1,218,346,19,2394,3,1069,NA
"289","19189",1,NA,0,NA,300,NA,NA,1,NA,NA
"290","2022-07-17",1,852,0,218,296,32,2426,1,1070,NA
"291","19191",1,NA,0,NA,302,NA,NA,1,NA,NA
"292","2022-07-19",2,854,1,219,381,25,2451,3,1073,NA
"293","19193",1,NA,1,NA,382,NA,NA,2,NA,NA
"294","2022-07-21",1,855,1,220,389,36,2487,2,1075,NA
"295","19195",5,NA,2,NA,404,NA,NA,7,NA,NA
"296","2022-07-23",9,864,3,223,408,35,2522,12,1087,NA
"297","19197",9,NA,3,NA,414,NA,NA,15,NA,NA
"298","2022-07-25",12,876,4,227,428,42,2564,16,1103,NA
"299","19199",9,NA,3,NA,409,NA,NA,12,NA,NA
"300","2022-07-27",8,884,1,228,366,22,2586,9,1112,NA
"301","19201",8,NA,1,NA,368,NA,NA,9,NA,NA
"302","2022-07-29",8,892,2,230,377,32,2618,10,1122,NA
"303","19203",8,NA,1,NA,442,NA,NA,10,NA,NA
"304","2022-07-31",11,903,0,230,463,39,2657,11,1133,NA
"305","19205",11,NA,0,NA,465,NA,NA,11,NA,NA
"306","2022-08-02",12,915,0,230,467,42,2699,12,1145,NA
"307","19207",12,NA,0,NA,428,NA,NA,12,NA,NA
"308","2022-08-04",12,927,0,230,426,28,2727,12,1157,NA
"309","19209",14,NA,0,NA,424,NA,NA,15,NA,NA
"310","2022-08-06",16,943,2,232,400,32,2759,18,1175,NA
"311","19211",13,NA,1,NA,399,NA,NA,10,NA,NA
"312","2022-08-08",9,952,1,233,394,31,2790,10,1185,NA
"313","19213",14,NA,1,NA,398,NA,NA,11,NA,NA
"314","2022-08-10",15,967,1,234,413,22,2812,16,1201,NA
"315","19215",10,NA,1,NA,415,NA,NA,14,NA,NA
"316","2022-08-12",10,977,3,237,416,24,2836,13,1214,NA
"317","19217",8,NA,1,NA,414,NA,NA,9,NA,NA
"318","2022-08-14",8,985,0,237,374,18,2854,8,1222,NA
"319","19219",8,NA,1,NA,382,NA,NA,8,NA,NA
"320","2022-08-16",9,994,2,239,433,40,2894,11,1233,"/"
"321","19221",8,NA,2,NA,350,NA,NA,9,NA,NA
"322","2022-08-18",4,998,2,241,318,27,2921,6,1239,NA
"323","19223",4,NA,1,NA,317,NA,NA,5,NA,NA
"324","2022-08-20",4,1002,1,242,311,31,2952,5,1244,NA
"325","19225",4,NA,1,NA,318,NA,NA,5,NA,NA
"326","2022-08-22",5,1007,1,243,332,26,2978,6,1250,NA
"327","19227",5,NA,1,NA,331,NA,NA,6,NA,NA
"328","2022-08-24",5,1012,2,245,326,26,3004,7,1257,NA
"329","19229",5,NA,2,NA,332,NA,NA,7,NA,NA
"330","2022-08-26",5,1017,2,247,340,26,3030,7,1264,NA
"331","19231",4,NA,2,NA,353,NA,NA,6,NA,NA
"332","2022-08-28",4,1021,2,363,369,28,3058,6,1384,NA
"333","19233",4,NA,1,NA,375,NA,NA,6,NA,NA
"334","2022-08-30",6,1027,1,376,381,22,3080,7,1403,NA
"335","19235",6,NA,1,NA,372,NA,NA,7,NA,NA
"336","2022-09-01",8,1035,2,367,372,13,3093,10,1402,NA
"337","19237",7,NA,2,NA,369,NA,NA,8,NA,NA
"338","2022-09-03",5,1040,3,370,255,9,3102,8,1410,NA
"339","19239",5,NA,2,NA,318,NA,NA,9,NA,NA
"340","2022-09-05",12,1052,2,372,331,18,3120,14,1424,NA
"341","19241",11,NA,1,NA,347,NA,NA,13,NA,NA
"342","2022-09-07",6,1058,1,373,387,29,3149,7,1431,NA
"343","19243",7,NA,0,NA,369,NA,NA,7,NA,NA
"344","2022-09-09",8,1066,0,373,317,22,3171,8,1439,NA
"345","19245",7,NA,0,NA,316,NA,NA,8,NA,NA
"346","2022-09-11",4,1070,5,378,316,8,3179,9,1448,NA
"347","-714536",9,NA,3,NA,367,NA,NA,9,NA,NA
"348","13/9/0202",12,1082,2,380,381,14,3193,14,1462,NA
"349","19249",14,NA,1,NA,377,NA,NA,15,NA,NA
"350","2022-09-15",15,1097,1,381,375,12,3205,16,1478,NA
"351","19251",17,NA,0,NA,359,NA,NA,16,NA,NA
"352","2022-09-17",18,1115,0,381,357,21,3226,18,1496,NA
"353","19253",15,NA,0,NA,350,NA,NA,17,NA,NA
"354","2022-09-19",15,1130,1,382,349,12,3238,16,1512,NA
"355","19255",12,NA,1,NA,355,NA,NA,15,NA,NA
"356","2022-09-21",11,1141,2,384,360,18,3256,13,1525,NA
"357","19257",12,NA,1,NA,367,NA,NA,13,NA,NA
"358","2022-09-23",13,1154,1,385,382,22,3278,14,1539,NA
"359","19259",14,NA,1,NA,376,NA,NA,14,NA,NA
"360","2022-09-25",18,1172,4,389,375,26,3304,22,1561,NA
"361","19261",10,NA,2,NA,377,NA,NA,21,NA,NA
"362","2022-09-27",8,1180,1,390,390,32,3336,9,1570,NA
"363","19263",7,NA,1,NA,380,NA,NA,9,NA,NA
"364","2022-09-29",7,1187,2,392,373,26,3362,9,1579,NA
"365","19265",13,NA,1,NA,393,NA,NA,15,NA,NA
"366","2022-10-01",15,1202,1,393,406,22,3384,16,1595,NA
"367","19267",16,NA,0,NA,439,NA,NA,16,NA,NA
"368","2022-10-03",18,1220,0,393,472,26,3410,18,1613,NA
"369","19269",15,NA,0,NA,393,NA,NA,12,NA,NA
"370","2022-10-05",11,1231,0,393,348,31,3441,11,1624,NA
"371","19271",13,NA,1,NA,378,NA,NA,14,NA,NA
"372","2022-10-07",14,1245,2,395,400,29,3470,16,1640,NA
"373","19273",15,NA,1,NA,403,NA,NA,16,NA,NA
"374","2022-10-09",16,1261,1,396,411,26,3496,17,1657,NA
